대상연도,사업소명,성과지표명,단위,영향인자
2021,012,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도, 외기온도"
2021,012,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2021,012,차량용 에너지 사용량,TJ,배관이설 등 건설현장 공사건수
2021,012,에너지 원단위,TJ/천톤,"생산(판매)량,난방도일,냉방도일,외기온도"
2020,012,총 에너지 사용량,TJ,"주배관 온도, 냉방도일, 난방도일, 외기온도"
2020,012,설비용 에너지 사용량,TJ,"주배관 온도, 공급량"
2020,012,건물용 에너지 사용량,TJ,"냉방도일, 난방도일, 외기온도"
2020,012,차량용 에너지 사용량,TJ,
2021,017,총 에너지 사용량,TJ,"판매량, 외기온도, 냉방일수, 난방일수 등"
2021,017,설비용 에너지 사용량,TJ,"판매량, 주배관온도, 외기온도 등"
2021,017,건물용 에너지 사용량,TJ,"외기온도, 난방일수, 냉방일수 등 "
2021,017,차량용 에너지 사용량,TJ,판매량 등 
2022,019,설비용 EnPI,TJ,"외기온도, 생산량"
2022,019,건물용 EnPI,TJ,"외기온도, 냉난방일수"
2022,019,챠량용 EnPI,TJ,"현장점검 및 출동, 출장"
2022,003,총 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력, 냉방도일, 난방도일"
2022,003,설비용 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력"
2022,003,건물용 에너지사용량,TJ,"냉방도일, 난방도일"
2022,003,차량용 에너지사용량,TJ,외기온도
